
Bogota,
p,Ingeniería de Sistemas,El propósito de la Ingeniería de Sistemas es modelar e implementar sistemas complejos la Ingeniería de Sistemas integra otras disciplinas aplica las ciencias matemáticas y ciencias de la computación para el desarrollo de los Sistemas.,555967,
t,Tecnología en Contabilidad,El programa cumple una función la cual surge de la dinámica impuesta por la división social del trabajo buscando el acercamiento con la empresa pública y privada con el fin de contribuir al crecimiento y desarrollo del contexto empresarial,5467857,
e,Curso de Primeros Auxilios,Brinda a la comunidad conocimientos y habilidades básicas para la atención de situaciones de emergencia,5609807,
Medellin,
p,Economía,Es un programa diseñado para proyectar profesionales integrales con sólidos conocimientos en teoría económica hábil manejo de los instrumentos científicos de apoyo (matemáticas estadística e historia) y una clara comprensión de los procesos internacionales y la realidad nacional.,5646464,
p,Medicina,Busca formar un profesional en el arte y la ciencia de la medicina que tenga como finalidad el conocimiento de la estructura del ser humano su desarrollo su funcionamiento y la promoción de la salud.,4206969,
Palmira,
p,Zootecnia,Objeto de estudio está orientado hacia la producción con especies animales domésticas de importancia para la sociedad colombiana,5634343,
p,Derecho,La Facultad de Derecho busca desarrollar en el estudiante habilidades tales como las de investigar argumentar resolver problemas y aquellas que se relacionan con la expresión oral y escrita entre otras.,452342,
p,Odontología,Su objetivo es preparar egresados capaces de contribuir a mejorar el nivel de salud oral de la población colombiana.,6757871,
Soacha,
t,Tecnología en Administración de Finanzas,tiene como objetivo formar tecnólogos con pensamiento innovador y emprendedor para aportar a la construcción de soluciones a los problemas que el entorno demanda a las diversas organizaciones,6758765,
t,Tecnología en Desarrollo de Software,Busca la formación de tecnólogos con bases sólidas en el desarrollo de software y las nuevas tecnologías de la información y la comunicación,7868674,
Cali,
e,Diplomado en Finanzas,El diplomado le permitirá al estudiante comprender aquellos conceptos que conlleven a la toma de decisiones financieras acertadas.,6743241,
